"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12114","Browser Playwright test","","2026-09-05","passed","2026-09-05","","UIBasictests.spec.js","",""
"","5631","sandbox banner is shown when 6 events are returned","","2026-09-05","passed","2026-09-05","","fixtureDemo.spec.js","",""
"","3321","Intercepting or mocking response","","2026-09-05","passed","2026-09-05","","intercept.spec.js","",""
"","11305","Client Learning site","","2026-09-05","passed","2026-09-05","","EventHubPractice.spec.js","",""
"","11480","Client login for iphone 13 pro","","2026-09-05","passed","2026-09-05","","ClientAppPO.spec.js","",""
"","10239","playwright special locator angular app","","2026-09-05","passed","2026-09-05","","AngularUiPractice.spec.js","",""
"","6617","Child window hndling","","2026-09-05","passed","2026-09-05","","UIBasictests.spec.js","",""
"","4020","Page Playwright test","","2026-09-05","passed","2026-09-05","","UIBasictests.spec.js","",""
"","11792","Client Learning site","","2026-09-05","failed","2026-09-05","","ClientAppOtherWay.spec.js","",""
"","13737","refund not eligible for group ticket booking","","2026-09-05","passed","2026-09-05","","EventHubRefund.spec.js","",""
"","7143","download upload excel validation","","2026-09-05","passed","2026-09-05","","upload-download.spec.js","",""
"","6433","Browser Context Playwright test","","2026-09-05","passed","2026-09-05","","UIBasictests.spec.js","",""
"","3189","Client Learning site","","2026-09-05","passed","2026-09-05","","UIBasictests.spec.js","",""
"","16495","Client login for ZARA COAT 3","","2026-09-05","passed","2026-09-05","","ClientAppPO.spec.js","",""
"","3092","Newly created event should appear on the events page","","2026-09-05","failed","2026-09-05","","fixtureDemo.spec.js","",""
"","6363","DD List and radiobutton handling","","2026-09-05","passed","2026-09-05","","UIBasictests.spec.js","",""
"","5191","Newly created event should appear on the events page","","2026-09-05","passed","2026-09-05","","fixtureDemo1.spec.js","",""
"","11469","refund eligible for single ticket booking","","2026-09-05","passed","2026-09-05","","EventHubPractice.spec.js","",""
"","6948","sandbox banner is hidden when 4 events are returned","","2026-09-05","passed","2026-09-05","","fixtureDemo.spec.js","",""
"","12776","Client login for ADIDAS ORIGINAL","","2026-09-05","failed","2026-09-05","","ClientAppPO.spec.js","",""
"","6662","Intercepting or mocking request","","2026-09-05","passed","2026-09-05","","intercept.spec.js","",""
"","2312","gmail user sees Access Denied when viewing yahoo user booking","","2026-09-05","failed","2026-09-05","","crossUser.spec.js","",""
"","227","Hit and try cases","","2026-09-05","passed","2026-09-05","","example.spec.js","",""
"","6635","Client Learning site","","2026-09-05","passed","2026-09-05","","WebAPIPart2.spec.js","",""
"","5454","Fixture Demo","","2026-09-05","passed","2026-09-05","","fixtureDemo.spec.js","",""
"","10866","refund eligible for single ticket booking","","2026-09-05","passed","2026-09-05","","EventHubRefund.spec.js","",""
"","12268","Client Learning site","","2026-09-05","failed","2026-09-05","","ClientApp.spec.js","",""
"","12718","refund not eligible for group ticket booking","","2026-09-05","passed","2026-09-05","","EventHubPractice.spec.js","",""
"","4853","Place Order","","2026-09-05","passed","2026-09-05","","WebAPIPart1.spec.js","",""
